feature,b,q_eff,I_raw,I_mm,I_null_mean,I_null_p95,perm_p,I_corrected,NMI_corrected,I_corrected_mmnull,I_null_mm_mean
F1,1,2,0.367620057178657,0.3339491261196663,0.06258211760390987,0.06774630732823335,0.0,0.27136700851575646,0.02748453380839794,0.31296948719379586,0.02097963892587045
F1,2,4,0.6786181469134789,0.5904873722155397,0.20054511795833335,0.20858761566558065,0.0,0.38994225425720636,0.03949404582772931,0.509490495195373,0.0809968770201667
F1,3,8,1.0137698845757264,0.8493242555778568,0.4994150406885555,0.5127406188742409,0.0,0.3499092148893013,0.03543942831921878,0.5742597834749464,0.2750644721029104
F1,4,16,1.4667117037091586,1.22155356582714,1.0217642889521503,1.0337167146804656,0.0,0.1997892768749896,0.020235013699195482,0.5169225835558718,0.7046309822712681
F1,5,32,2.058304943710281,1.7402523495382827,1.736678074902449,1.744997696305381,0.0,0.0035742746358335964,0.0003620088993366478,0.3831671584311438,1.3570851911071389
F1,6,64,2.7918464281223816,2.4210219789397236,2.580991232659876,2.589072758011346,0.0,0.0,0.0,0.2549032587176585,2.166118720222065
F1,7,128,3.6262359412448326,3.222318030797071,3.4985915795033247,3.503968749795998,0.0,0.0,0.0,0.1557278283371022,3.066590202459969
F1,8,256,4.528641938233724,4.108466032050355,4.45663416296677,4.461189037605691,0.0,0.0,0.0,0.0884843211091706,4.019981710941185
F2,1,2,0.3441375330749068,0.3095337661950204,0.06279010855921695,0.06713441072180801,0.0,0.24674365763580342,0.02499063698786082,0.2883441373799409,0.021189628815079447
F2,2,4,0.6332343917596202,0.5424383718591219,0.2002090621177631,0.209630739021409,0.0,0.3422293097413588,0.034661593851283964,0.4618290787534417,0.08060929310568024
F2,3,8,0.9511201964260874,0.7806333449690843,0.49985930289041575,0.5122289424311127,0.0,0.2807740420786686,0.028437294917460984,0.5050650868547898,0.27556825811429453
F2,4,16,1.392914887728388,1.136207353968615,1.021529797453856,1.0329539271599988,0.0,0.11467755651475908,0.011614747114372801,0.4318748290805027,0.7043325248881124
F2,5,32,2.00122048460395,1.6708633417468057,1.7373906725373462,1.746828188115074,0.0,0.0,0.0,0.3128920899628367,1.357971251783969
F2,6,64,2.759454132862013,2.3805451065649272,2.580339530067608,2.5875670895058485,0.0,0.0,0.0,0.21521290592162634,2.165332200643301
F2,7,128,3.6065410395648865,3.197337059465383,3.4988050249103186,3.505195898094205,0.0,0.0,0.0,0.13048854663751053,3.0668485128278724
