feature,b,q_eff,I_raw,I_mm,I_null_mean,I_null_p95,perm_p,I_corrected,NMI_corrected,I_corrected_mmnull,I_null_mm_mean
B1,2,4,0.6756362401180933,0.5885373534121339,0.19921882057757095,0.20937330794040765,0.0,0.3893185328345629,0.04329840259516013,0.5088826291017535,0.07965472431038031
B1,3,8,0.9890834567596052,0.8253637449062996,0.5004034865076217,0.5170107533395668,0.0,0.3249602583986779,0.03614074057335524,0.5489022197608245,0.27646152514547506
B1,4,16,1.418223206474849,1.1682232064748508,1.0219364981004069,1.0383837434803043,0.0,0.1462867083744439,0.016269404765811697,0.46292185899657745,0.7053013474782733
B1,5,32,1.9969576861084946,1.6690271032663198,1.73696618567074,1.7487480051909978,0.0,0.0,0.0,0.31041594379073345,1.3586111594755863
B1,6,64,2.750443327570604,2.3738879903079972,2.579668173393212,2.591049403805524,0.0,0.0,0.0,0.20699363813286054,2.1668943521751367
B1,7,128,3.5923659695665755,3.1860955046025925,3.4983166545404343,3.506627719485653,0.0,0.0,0.0,0.11508361430577363,3.071011890296819
B1,8,256,4.506428069401354,4.0906618611498775,4.455657758918318,4.461436732447376,0.0,0.0,0.0,0.062316233862210524,4.028345627287667
B2,1,2,0.3331371309205142,0.29826483229575906,0.06269264827890819,0.0692668933998248,0.0,0.23557218401685087,0.02619936736512131,0.2771377537614493,0.021127078534309788
B2,2,4,0.6174138113249104,0.5256489128311319,0.19939872785480628,0.2105534878028701,0.0,0.32625018497632563,0.03628420089072195,0.44581182544783854,0.07983708738329338
B2,3,8,0.9134305683021644,0.7425071891273127,0.5003127910215109,0.5155350417823469,0.0,0.2421943981058018,0.026935862721782333,0.4661842474836655,0.27632294164364724
B2,4,16,1.3456723861927067,1.08388456693927,1.0220171540015996,1.0406692437621652,0.0,0.061867412937670396,0.006880638672381374,0.3784022852362936,0.7054822817029764
B2,5,32,1.9574363985116126,1.6228751673393802,1.7361042099402664,1.7494354317271243,0.0,0.0,0.0,0.2653073031751447,1.3575678641642355
B2,6,64,2.7194608719693107,2.336929765224058,2.5799522613036174,2.591450825099222,0.0,0.0,0.0,0.16969770693288355,2.1672320582911744
B2,7,128,3.577390866255447,3.168009726766252,3.4976321461087987,3.5050316863129543,0.0,0.0,0.0,0.09784729251076119,3.070162434255491
B2,8,256,4.4991213911952155,4.082127285104839,4.455721392953595,4.461426539974407,0.0,0.0,0.0,0.0537008332121518,4.028426451892687
B3,1,2,0.353505983840698,0.31887926478372286,0.06320797365847144,0.07033607138781263,0.0,0.25567129112525144,0.028434707216647412,0.29723358647561277,0.02164567830811011
B3,2,4,0.6281631624199715,0.5371350026295314,0.20050135831803984,0.2127314142146525,0.0,0.33663364431149156,0.03743900644120813,0.4560413882538623,0.08109361437566907
B3,3,8,0.92401370512205,0.7518624281082982,0.4994521465832259,0.5163354770796132,0.0,0.2524102815250723,0.028072031169588438,0.47642632605683255,0.2754361020514656
B3,4,16,1.3668773858213168,1.1067267636864138,1.0222877638521788,1.0380397269088695,0.0,0.08443899983423497,0.009390957535301763,0.40094440258472464,0.7057823611016891
B3,5,32,1.9763979492577963,1.6443743736192893,1.7365225342669015,1.7496725912914404,0.0,0.0,0.0,0.2863378413170239,1.3580365323022654
B3,6,64,2.723928284621209,2.3411515983081763,2.579339743266056,2.590517622741656,0.0,0.0,0.0,0.1746900475765023,2.166461550731674
B3,7,128,3.5762823364694025,3.1661644582768673,3.497669361464087,3.5053572792853744,0.0,0.0,0.0,0.09595334828625868,3.0702111099906086
B3,8,256,4.502635638409121,4.085968971742451,4.455981273990748,4.4616365689319935,0.0,0.0,0.0,0.057217150927868055,4.028751820814583
B4,1,2,0.35457140027681966,0.3201084009316979,0.06327137986676672,0.06926313763877746,0.0,0.25683702106493117,0.028564354895831832,0.29839726991889437,0.021711131012803548
B4,2,4,0.6468101883578221,0.5575010855418423,0.20044023198317512,0.21423262396903536,0.0,0.3570608535586672,0.03971083646029338,0.4765258994001867,0.08097518614165562
B4,3,8,0.9687443622209244,0.8028144342575985,0.49965413336327885,0.5165128061468789,0.0,0.3031603008943196,0.03371623915106567,0.5272713028589548,0.27554313139864356
B4,4,16,1.4087547668663216,1.1566264106122297,1.0220673918790333,1.0361099006651913,0.0,0.13455901873319642,0.014965099461102242,0.4511008491195735,0.7055255614926562
B4,5,32,1.994303298517048,1.6667820149545065,1.7360246126824546,1.7481925130630551,0.0,0.0,0.0,0.30934245466235955,1.357439560292147
B4,6,64,2.7435770481751884,2.3653026539381212,2.5795970038008194,2.592058680574759,0.0,0.0,0.0,0.19852162918117955,2.1667810247569417
B4,7,128,3.592211169945175,3.1852858261337786,3.497720579362239,3.5052457282452942,0.0,0.0,0.0,0.11500057748535841,3.0702852486484202
B4,8,256,4.511229322920528,4.096117993516465,4.455587792746915,4.461422526999655,0.0,0.0,0.0,0.06786034156850551,4.02825765194796
B5,1,2,0.33500302854454844,0.3000488700638666,0.06287581553953105,0.06857229672418103,0.0,0.23717305452433557,0.026377409584768852,0.2787345312761376,0.021314338787728985
B5,2,4,0.6091859918319784,0.5174210933382,0.19977093823084935,0.2139885773506447,0.0,0.3176501551073506,0.03532774101483026,0.43719296781200034,0.08022812552619964
B5,3,8,0.9151485646517656,0.7424242686465288,0.49971921498291777,0.5154133067295683,0.0,0.242705053663611,0.026992655728188927,0.4667730792038847,0.27565118944264405
B5,4,16,1.3595151056245598,1.0994463433455834,1.02149199340692,1.0367116206929032,0.0,0.07795434993866346,0.008669761501239775,0.39463165838659886,0.7048146849589846
B5,5,32,1.9731450149704237,1.6406302801963566,1.736408232964477,1.7501730325201712,0.0,0.0,0.0,0.2827367001460903,1.3578935800502663
B5,6,64,2.7284463546942437,2.347716164779378,2.5796534140101057,2.591778264522927,0.0,0.0,0.0,0.1808472137686179,2.16686895101076
B5,7,128,3.578494152940314,3.169522312730752,3.4984141477870323,3.50629410056373,0.0,0.0,0.0,0.09838591543488029,3.071136397295872
B5,8,256,4.497651114510319,4.080083989428456,4.4557964873687,4.462163844840318,0.0,0.0,0.0,0.05156361535379883,4.028520374074657
CPP,1,2,0.5391767324169461,0.5129815785204155,0.0624932744793033,0.06803570054183225,0.0,0.4504883040411122,0.050101452429626867,0.4920575574792273,0.0209240210411882
CPP,2,4,0.9241498253581515,0.8559605653712481,0.19904095551389245,0.21170703451300818,0.0,0.6569196098573556,0.07305989142917613,0.7764812503288685,0.0794793150423796
CPP,3,8,1.2447454976916141,1.1102497544041228,0.49850681572472694,0.5148329402314815,0.0,0.6117429386793958,0.06803552826225828,0.8360319858306715,0.2742177685734513
CPP,4,16,1.6217582068223209,1.402210073227037,1.021083676345239,1.0356479347466454,0.0,0.38112639688179795,0.04238730699944177,0.6979039836532437,0.7043060895737934
CPP,5,32,2.1557217275469576,1.858488590677279,1.7358211378137873,1.750574379832085,0.0,0.12266745286349168,0.013642568517700846,0.5012987560723978,1.3571898346048812
CPP,6,64,2.8309694327613073,2.471277225819591,2.5795777301890253,2.592443335843309,0.0,0.0,0.0,0.30451833976940135,2.16675888605019
CPP,7,128,3.642899904218279,3.248007959228101,3.4976751145313556,3.5069511459346083,0.0,0.0,0.0,0.17778700317742713,3.0702209560506737
CPP,8,256,4.537848076441012,4.129531115078862,4.4552656982192556,4.460526647721787,0.0,0.0,0.0,0.10167700821520853,4.0278541068636535
F0,1,2,0.6116297130326114,0.5900187110679749,0.06281131105726687,0.06837319297892194,0.0,0.527207400010708,0.058633834075685974,0.5687737883538657,0.021244922714109205
F0,2,4,1.1006092969795773,1.0446171555257457,0.1994759768139972,0.21153893824360423,0.0,0.8451411787117485,0.09399311853761509,0.9646635264524166,0.07995362907332916
F0,3,8,1.4729171881053897,1.35945942779105,0.5010452932239527,0.5188475169664178,0.0,0.8584141345670971,0.09546928198164226,1.082285287153867,0.2771741406371827
F0,4,16,1.839314347170582,1.6498906405563076,1.0212192525285253,1.0390211857642049,0.0,0.6286713880277823,0.06991824062599178,0.9453879892065629,0.7045026513497448
F0,5,32,2.3084825450785402,2.037526421961317,1.7350873717982258,1.7495796375247608,0.0,0.30243905016309136,0.03363602461746666,0.6812320265874525,1.3562943953738646
F0,6,64,2.937469305889943,2.60020669947213,2.5803502316956632,2.590794099800522,0.0,0.01985646777646677,0.0022083545050978243,0.43248335055315357,2.1677233489189764
F0,7,128,3.7125960163564677,3.3335848834160604,3.4982042738818597,3.506341444007781,0.0,0.0,0.0,0.26270993173459445,3.070874951681466
F0,8,256,4.565670478953651,4.163984165921558,4.455845883949039,4.462363681324937,0.0,0.0,0.0,0.1354053906824113,4.028578775239147
F1,1,2,0.35697565214038285,0.3229219520748945,0.06298909282906023,0.0689060526704937,0.0,0.25993285924583426,0.0289086612584143,0.30149842899043267,0.02142352308446183
F1,2,4,0.6667890111462942,0.5776436280421677,0.20051150933449213,0.21265533279604812,0.0,0.3771321187076756,0.04194307984385013,0.49657383449025594,0.08106979355191181
F1,3,8,1.0173889698080671,0.8551427353614418,0.49945689075931043,0.515490059775563,0.0,0.3556858446021314,0.039557913631424774,0.5798050325523592,0.2753377028090826
F1,4,16,1.4517952684899846,1.2057245415744653,1.021317555393495,1.0381056896515188,0.0,0.1844069861809703,0.02050898494579689,0.5011031223957692,0.7046214191786961
F1,5,32,2.0369473599944836,1.7163023043297816,1.735863672931651,1.751461350623381,0.0,0.0,0.0,0.35904251155530087,1.3572597927744807
F1,6,64,2.7749904279495112,2.4035922616102834,2.5799765671904566,2.5911256503258064,0.0,0.0,0.0,0.2363420369214646,2.167250224688819
F1,7,128,3.6060244374718184,3.202455347753416,3.4985116976498865,3.5061868825705798,0.0,0.0,0.0,0.13120093563070778,3.071254412122708
F1,8,256,4.517085172205839,4.103529180064383,4.455795468121403,4.461632555957242,0.0,0.0,0.0,0.07501064383558198,4.028518536228801
F2,1,2,0.34572602035582634,0.31060814216329113,0.0629273640747453,0.06967286476205299,0.0,0.24768077808854583,0.027546035290638243,0.2892434827381868,0.021364659425104345
F2,2,4,0.6410617224401296,0.5508521612089563,0.20025428418821917,0.2109577368861922,0.0,0.35059787702073714,0.038992050847738734,0.47006824375289175,0.08078391745606454
F2,3,8,0.9675741222223628,0.8009893154116234,0.5003219890997049,0.5172837086721682,0.0,0.3006673263119185,0.03343898079312828,0.5246293433387672,0.2763599720728562
F2,4,16,1.4131373677337802,1.1602722727763481,1.0216505957179967,1.038550530678735,0.0,0.1386216770583515,0.015416931575254107,0.45524986959273095,0.7050224031836172
F2,5,32,2.0029333278535635,1.6754939041469488,1.737304624150169,1.7533894747610614,0.0,0.0,0.0,0.3164509859561768,1.359042918190772
F2,6,64,2.7509315094033866,2.3736394334374395,2.5804599032283733,2.5907529358546837,0.0,0.0,0.0,0.20579699910232208,2.1678424343351175
F2,7,128,3.601673064413413,3.1971216564238905,3.4980977600475014,3.5061331875196977,0.0,0.0,0.0,0.12637532073788282,3.0707463356860076
