feature,b,q_eff,I_raw,I_mm,I_null_mean,I_null_p95,perm_p,I_corrected,NMI_corrected,I_corrected_mmnull,I_null_mm_mean
CPP,4,16,1.47263303763269,1.2287967457194746,1.0214165014471572,1.0397668178950155,0.0,0.20738024427231738,0.024685539870584514,0.5234169799725157,0.7053797657469589
CPP,5,32,2.05391508714926,1.7356212015476817,1.7351203968108273,1.7542152016124164,0.0,0.0005008047368544322,5.9613370320674875e-05,0.37798354635421205,1.3576376551934697
CPP,6,64,2.782238624443078,2.414141977500279,2.5785219617223736,2.590543054692339,0.0,0.0,0.0,0.24608352662602995,2.168058450874249
CPP,7,128,3.611846406485018,3.214780331534328,3.4963152347914206,3.506440166406632,0.0,0.0,0.0,0.14097064408018545,3.0738096874541427
CPP,8,256,4.522906138721002,4.121525468109564,4.454531503777731,4.461990294919975,0.0,0.0,0.0,0.08396696729041153,4.037558500819152
F0,1,2,0.503181980681422,0.4750754718056811,0.06225119241341872,0.06983292325836299,0.0,0.4128242793922624,0.04914060278133906,0.4543522626269772,0.0207232091787039
F0,2,4,0.8788584662273582,0.8063732591267669,0.19970323247272564,0.21319858207790957,0.0,0.6066700266540412,0.07221506167960477,0.7260228373049282,0.08035042182183873
F0,3,8,1.2197046583018807,1.0821306938048387,0.49891355037864527,0.5171046287059796,0.0,0.5832171434261935,0.069423344049834,0.8070392588108094,0.2750914349940293
F0,4,16,1.6096090065962159,1.3885784346041046,1.020400331052613,1.0419161295212056,0.0,0.3681781035514915,0.0438261382446918,0.6843726301787114,0.7042058044253932
F0,5,32,2.1535336845461845,1.8541007456901681,1.7366727499042154,1.7535598683819038,0.0,0.11742799578595275,0.01397805987773116,0.49460131925735396,1.3594994264328142
F0,6,64,2.8422235611132702,2.4852215887266826,2.578899543976947,2.59409220479073,0.0,0.0,0.0,0.31668816901009,2.1685334197165926
F0,7,128,3.646878819824014,3.256592823768788,3.496980177484427,3.506148535027699,0.0,0.0,0.0,0.18195670446976475,3.074636119299023
F0,8,256,4.545004937552546,4.148555233410537,4.455200435714922,4.462483391566916,0.0,0.0,0.0,0.11015583319857214,4.038399400211965
F1,1,2,0.3291843462336157,0.29466758094761936,0.06338509873639445,0.0721308444706045,0.0,0.2312824822112249,0.027530746508793984,0.27280183625461824,0.0218657446930011
F1,2,4,0.6409237465959734,0.5500706893967635,0.19921919948092753,0.21552926700744113,0.0,0.350851489915836,0.04176366207572973,0.47019320589216673,0.07987748350459681
F1,3,8,0.9613437828418263,0.7933211003960672,0.49918269115447944,0.5201370607482229,0.0,0.29413840924158774,0.03501281163151163,0.5179845630877422,0.275336537308325
F1,4,16,1.4227803724052084,1.1713010824643781,1.0206757702494496,1.041552173193522,0.0,0.1506253122149286,0.017929707640416747,0.46685620471986067,0.7044448777445175
F1,5,32,2.026438696200051,1.7038302149377227,1.7344274307186354,1.7527506332945566,0.0,0.0,0.0,0.34708892820330894,1.3567412867344137
F1,6,64,2.769105439017995,2.3982967605170096,2.5790875250235388,2.5950015415744585,0.0,0.0,0.0,0.22952358460589561,2.168773175911114
F1,7,128,3.6129288422654824,3.216232589799999,3.4958468411770434,3.505677571791738,0.0,0.0,0.0,0.14300470818903,3.073227881610969
F1,8,256,4.515846983285659,4.1129870227333925,4.455022557602361,4.462563992684122,0.0,0.0,0.0,0.07482097400676846,4.038166048726624
F2,1,2,0.3279514649390176,0.29281832884434245,0.062248626811019225,0.06958159902864888,0.0,0.23056970203332322,0.027445900608634617,0.2720933706723773,0.02072495817196515
F2,2,4,0.6244850386356724,0.5333854331129899,0.20025969012177008,0.2134471400894413,0.0,0.33312574299121983,0.03965367501317754,0.45244650236005546,0.08093893075293446
F2,3,8,0.952889724094943,0.7831412033848828,0.49944812254722315,0.5225180663191746,0.0,0.28369308083765965,0.0337694503283109,0.5074233569717825,0.27571784641310026
F2,4,16,1.3770943721032118,1.1179720841347685,1.0216388002774048,1.0409448853763728,0.0,0.09633328385736362,0.01146704753806061,0.41224859450825246,0.705723489626516
F2,5,32,1.9810527944045866,1.6490754768503457,1.7349238839218117,1.7522864884339855,0.0,0.0,0.0,0.29163618365831745,1.3574392931920283
F2,6,64,2.7369150805767593,2.3584634040481607,2.578677099501028,2.59334495919578,0.0,0.0,0.0,0.19021344951754582,2.168249954530615
F2,7,128,3.5886188634126626,3.1857589028603943,3.4960517914049674,3.5051937809571996,0.0,0.0,0.0,0.11226874853629498,3.0734901543240993
F2,8,256,4.5149100333202306,4.110940605312344,4.454260434081524,4.460706427039618,0.0,0.0,0.0,0.07371481127026591,4.037225794042078
F3,1,2,0.3670053326770759,0.3327351157145504,0.06337423905290789,0.07131120159642794,0.0,0.2693608766616425,0.032063414158559615,0.31088331255907914,0.021851803155471236
F3,2,4,0.6920127976074149,0.6062139810393674,0.19929153171516403,0.21238919387781197,0.0,0.4069224493242034,0.048438077514452144,0.5262949838409681,0.0799189971983994
F3,3,8,0.9971864999264994,0.8339715097884319,0.4988507314541853,0.521705359807799,0.0,0.33512077833424664,0.039891154357829306,0.5590452112731032,0.2749262985153287
F3,4,16,1.4506835534204132,1.2059843423750465,1.0207527975958088,1.0387502449974975,0.0,0.18523154477923764,0.022049065956029484,0.5013890891579369,0.7045952532171096
F3,5,32,2.0260461441249618,1.704300581994783,1.734866874778383,1.7519370988771021,0.0,0.0,0.0,0.346972538577347,1.357328043417436
F3,6,64,2.7675213343951555,2.396096285085491,2.580386059848692,2.593460114370359,0.0,0.0,0.0,0.2257170053156936,2.1703792797697976
F3,7,128,3.61770863071418,3.2210123782486964,3.496882536936498,3.507464324133629,0.0,0.0,0.0,0.14650348529641954,3.074508892952277
F3,8,256,4.525210127371876,4.123706182598703,4.454372407808763,4.46100410162609,0.0,0.0,0.0,0.08634499273865526,4.037361189860047
F4,1,2,0.382176975868477,0.34963259717025075,0.062810326612621,0.0726391499175894,0.0,0.28682227055762977,0.03414193391692849,0.3283490210507272,0.021283576119523504
F4,2,4,0.7014603059428985,0.6175106018008876,0.19946462927999825,0.21424572725620328,0.0,0.4180459725208893,0.04976216784107259,0.5374653512191134,0.0800452505817741
F4,3,8,1.0018544549703172,0.8396256581261348,0.4989465330172221,0.5195541949007929,0.0,0.3406791251089127,0.040552793037068095,0.5646091053850475,0.27501655274108733
F4,4,16,1.4439190992226454,1.1979871465599228,1.0197473823211987,1.0414807735595797,0.0,0.17823976423872412,0.021216798263873703,0.4945877671973049,0.7033993793626179
F4,5,32,2.0230381812797464,1.6995667808852684,1.736652917627296,1.7538604713419275,0.0,0.0,0.0,0.34002986424416637,1.359536916641102
F4,6,64,2.761176289382167,2.3882719501316743,2.5792230938882623,2.5915243212591417,0.0,0.0,0.0,0.2193126629495259,2.1689592871821484
