feature,b,q,q_eff,N,n_spk,I_raw,I_mm,I_null_mean,I_null_p95,I_corrected,NMI_corrected,perm_p,deficient
F5,3,8,8,6300,630,1.8150308727610707,1.6839288234104466,0.6045398359740908,0.6214979138325807,1.0793889874363558,0.11607321669781825,0.0,False
F5,4,16,16,6300,630,2.1847483511211205,1.948879161896417,1.1855379547836085,1.2019762113014967,0.7633412071128085,0.08208669013570377,0.0,False
F5,5,32,32,6300,630,2.615540654554927,2.2537218982684886,1.9442865792774284,1.9571970209627707,0.30943531899106014,0.03327544865962942,0.0,False
F5,6,64,64,6300,630,3.221698681023897,2.7557997825018976,2.8140784013279063,2.8246206301544072,0.0,0.0,0.0,False
F5,7,128,128,6300,630,3.980165718990886,3.447628049532587,3.74611500515873,3.7523990343657405,0.0,0.0,0.0,False
F5,8,256,256,6300,630,4.83477385253839,4.269374796037621,4.711220998659088,4.716329923351546,0.0,0.0,0.0,False
GCT,1,2,2,6290,630,0.7119243537735702,0.6846301232702655,0.07624616270184194,0.08291084504830826,0.6083839605684236,0.06542320156355992,0.0,False
GCT,2,4,4,6290,630,1.2593422518075403,1.185372593510769,0.24744330598261896,0.2614901276492584,0.9379292875281501,0.1008612008327577,0.0,False
GCT,3,8,8,6290,630,1.6092731741318929,1.4498656934613317,0.6046627017174682,0.6208673601278224,0.8452029917438635,0.09088978223442767,0.0,False
GCT,4,16,16,6290,630,1.9815819146083307,1.7056578869152585,1.187429573988029,1.20160550972881,0.5182283129272296,0.05572822028526937,0.0,False
GCT,5,32,32,6290,630,2.4688072051438823,2.069944458545169,1.9455062069235947,1.9585600159439946,0.12443825162157429,0.01338159673119723,0.0,False
GCT,6,64,64,6290,630,3.133631084740312,2.640385347787734,2.815689849690573,2.826196445920216,0.0,0.0,0.0,False
GCT,7,128,128,6290,630,3.932184856625618,3.382974478977188,3.7477854459238324,3.7557307057410494,0.0,0.0,0.0,False
GCT,8,256,256,6290,630,4.809977704712976,4.235078639532024,4.713212694302651,4.718427205898124,0.0,0.0,0.0,False
GNE,1,2,2,6300,630,0.21999804466928907,0.15278677570089055,0.07643871384603569,0.08420504446820488,0.07634806185485486,0.008210168188935251,0.0,False
GNE,2,4,4,6300,630,0.43542657770792914,0.2578376881508829,0.24661470265896523,0.26214185092012876,0.011222985491917692,0.0012068754102205841,0.0,False
GNE,3,8,8,6300,630,0.7747419346745641,0.45826502253035023,0.604442089101701,0.6209904706358925,0.0,0.0,0.0,False
GNE,4,16,16,6300,630,1.3052336969319516,0.8634942153645213,1.185537554108311,1.2031829455701155,0.0,0.0,0.0,False
GNE,5,32,32,6300,630,2.0197172379404194,1.4907290562811328,1.9444487872356018,1.9582054229471022,0.0,0.0,0.0,False
GNE,6,64,64,6300,630,2.86367908690875,2.2866010705531643,2.8131188343285634,2.8227924170614362,0.0,0.0,0.0,False
GNE,7,128,128,6300,630,3.7775901311914097,3.178413690796811,3.745969238353116,3.754299595278335,0.0,0.0,0.0,False
GNE,8,256,256,6300,630,4.7239810990470374,4.120339174002068,4.711017193907088,4.715904621962348,0.0,0.0,0.0,False
HNR,1,2,2,6300,630,0.6240276161475613,0.5873877420932384,0.07687906276651606,0.08515881503363269,0.5105086793267224,0.054898081462130544,0.0,False
HNR,2,4,4,6300,630,1.0610462748139966,0.9626911128994237,0.24558966055814982,0.26021708491815476,0.7171014523412739,0.07711425004402016,0.0,False
HNR,3,8,8,6300,630,1.3828584500535612,1.1845451317345386,0.6050785928599843,0.6219461894976593,0.5794665388745542,0.06231353656448784,0.0,False
HNR,4,16,16,6300,630,1.7732843295887442,1.4500519406657646,1.1857716074306905,1.200913774794807,0.26428033323507405,0.028419660331558752,0.0,False
HNR,5,32,32,6300,630,2.313590331570424,1.8720798492158335,1.9444080898029779,1.9576625186859535,0.0,0.0,0.0,False
HNR,6,64,64,6300,630,3.0247087217547364,2.4988120294687834,2.8137115795024403,2.822576114282766,0.0,0.0,0.0,False
HNR,7,128,128,6300,630,3.8661044714334096,3.2956674322501702,3.7462937090575106,3.7538584208732626,0.0,0.0,0.0,False
HNR,8,256,256,6300,630,4.7760570038144365,4.190277017370949,4.710994971684866,4.716132286447129,0.0,0.0,0.0,False
IHI,1,2,2,6300,630,0.35716296785420454,0.29819567054802865,0.07605797408291293,0.08390985670914305,0.22213769646511572,0.023887808082783384,0.0,False
IHI,2,4,4,6300,630,0.6360678584888984,0.4840123811634584,0.24620492261697688,0.2589595765239571,0.23780745854648153,0.02557287223559963,0.0,False
IHI,3,8,8,6300,630,0.9848816661768005,0.7071056210024651,0.6037172262650473,0.6188422526010887,0.10338839473741779,0.011117978491607932,0.0,False
IHI,4,16,16,6300,630,1.486719953606757,1.0882613232659957,1.1874831904769332,1.202159956615132,0.0,0.0,0.0,False
IHI,5,32,32,6300,630,2.1552329389643923,1.6641441270300459,1.9445342957950482,1.9596508700714421,0.0,0.0,0.0,False
IHI,6,64,64,6300,630,2.9347274508544103,2.3788318616864803,2.8139150500777923,2.823851874996159,0.0,0.0,0.0,False
IHI,7,128,128,6300,630,3.8116445111090815,3.2230020345051003,3.7460759455951624,3.7527122936910318,0.0,0.0,0.0,False
IHI,8,256,256,6300,630,4.745652420477668,4.149452969849984,4.71130201310356,4.716326032676979,0.0,0.0,0.0,False
LHR,1,2,2,6300,630,0.34125781329477256,0.2814890187436584,0.07605398964176607,0.08341188106632166,0.20543502910189232,0.022091669386864625,0.0,False
LHR,2,4,4,6300,630,0.6290309603867428,0.475944986603525,0.24592799351990077,0.26007742209039436,0.23001699308362425,0.024735116434519235,0.0,False
LHR,3,8,8,6300,630,0.9638518459168424,0.6849308046783095,0.6042451188442874,0.6214800220424778,0.08068568583402203,0.008676619092129417,0.0,False
LHR,4,16,16,6300,630,1.4473313816857925,1.0407432792892282,1.1857292214025608,1.2037455423317938,0.0,0.0,0.0,False
